epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6254,3.95488,3.7119,3.38515,0.00087,0.21201,0.00377,0.0011,4.22383,3.72247,3.51144,0.0674853,0.000328431,0.000328431
2,23.3006,3.27745,3.09279,2.78283,0.86436,0.0679,0.0348,0.00891,3.96895,4.28898,3.69323,0.0344837,0.000660127,0.000660127
3,33.6992,2.95792,2.77343,2.54784,0.25996,0.21734,0.09026,0.02391,3.25642,3.44767,2.93215,0.00148037,0.000990172,0.000990172
4,44.1312,2.6331,2.52565,2.37087,0.1297,0.24173,0.10397,0.03307,3.06147,2.99065,2.69428,0.000992575,0.000992575,0.000992575
5,54.3355,2.46457,2.34703,2.2332,0.18664,0.31922,0.16367,0.05499,2.83053,2.7607,2.5846,0.0009901,0.0009901,0.0009901
6,64.5276,2.3571,2.22615,2.15424,0.20321,0.339,0.19943,0.06204,2.61953,2.32533,2.41089,0.000987625,0.000987625,0.000987625
7,74.9911,2.2446,2.09486,2.07263,0.11702,0.25836,0.1258,0.04028,2.75303,2.80581,2.47576,0.00098515,0.00098515,0.00098515
8,85.0848,2.21335,2.0565,2.04258,0.61286,0.27389,0.28409,0.1059,2.39209,2.24939,2.30393,0.000982675,0.000982675,0.000982675
9,95.3431,2.11241,1.99252,1.99105,0.46797,0.35676,0.31655,0.12962,2.30646,2.48375,2.22769,0.0009802,0.0009802,0.0009802
10,105.801,2.10151,1.94129,1.95525,0.49599,0.39432,0.3653,0.14905,2.32787,2.01235,2.19324,0.000977725,0.000977725,0.000977725
11,116.04,2.03763,1.91347,1.93142,0.44234,0.36845,0.2863,0.10075,2.35421,2.36971,2.24571,0.00097525,0.00097525,0.00097525
12,126.127,1.97311,1.84182,1.87752,0.57965,0.3811,0.41791,0.17479,2.2028,1.98897,2.15469,0.000972775,0.000972775,0.000972775
13,136.504,1.94794,1.78183,1.85441,0.53301,0.38458,0.37474,0.14842,2.28141,1.98438,2.19763,0.0009703,0.0009703,0.0009703
14,146.56,1.94357,1.78276,1.85733,0.54235,0.41888,0.41005,0.16799,2.17574,2.03382,2.11751,0.000967825,0.000967825,0.000967825
15,156.595,1.91716,1.73564,1.8316,0.71589,0.30144,0.391,0.17159,2.25113,2.12262,2.27628,0.00096535,0.00096535,0.00096535
16,166.849,1.91891,1.76946,1.83753,0.4959,0.45778,0.38795,0.17074,2.04773,2.08246,2.05167,0.000962875,0.000962875,0.000962875
17,176.925,1.88109,1.74188,1.81864,0.25664,0.41283,0.29785,0.12332,2.22411,2.37423,2.13698,0.0009604,0.0009604,0.0009604
18,186.959,1.84497,1.70114,1.79916,0.58881,0.46411,0.48415,0.22261,2.0155,1.84578,2.00974,0.000957925,0.000957925,0.000957925
19,197.377,1.81646,1.6769,1.77507,0.61333,0.44145,0.48453,0.21616,1.98191,1.85248,1.99539,0.00095545,0.00095545,0.00095545
20,207.379,1.83799,1.67567,1.77415,0.46611,0.41839,0.44274,0.19246,2.09289,1.95161,2.01652,0.000952975,0.000952975,0.000952975
21,217.371,1.80955,1.65429,1.75331,0.62245,0.47587,0.49614,0.21975,2.03894,1.79676,2.00422,0.0009505,0.0009505,0.0009505
